ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
25727,40,unemployed,single,tertiary,no,97,yes,yes,cellular,2,feb,73,1,252,1,failure
25737,45,blue-collar,married,secondary,no,2246,yes,yes,cellular,21,nov,197,2,99,2,other
25738,48,unemployed,married,secondary,no,817,no,no,cellular,16,jul,806,3,183,5,success
25747,42,blue-collar,married,secondary,no,2044,yes,yes,cellular,7,may,155,1,282,5,failure
25748,57,retired,married,primary,no,9367,no,no,cellular,14,may,700,4,92,7,success
25749,27,admin.,married,secondary,no,1595,no,no,cellular,29,dec,196,2,197,2,success
25753,34,self-employed,married,tertiary,no,980,no,no,cellular,31,aug,69,2,54,4,failure
25758,60,technician,married,secondary,no,259,no,no,cellular,6,jul,396,1,386,2,success
25760,65,retired,married,tertiary,no,162,no,no,cellular,6,aug,280,3,185,2,failure
25762,27,blue-collar,single,secondary,no,535,no,no,cellular,16,aug,265,3,95,4,success
25780,33,admin.,single,secondary,no,555,yes,no,cellular,9,sep,204,1,365,1,success
25782,27,technician,single,secondary,no,218,yes,no,cellular,14,may,1462,2,352,1,failure
25784,49,technician,divorced,secondary,no,972,no,no,cellular,16,nov,104,3,175,2,failure
25795,62,blue-collar,married,secondary,no,272,no,no,cellular,11,nov,289,1,92,3,success
25799,68,retired,married,tertiary,no,2812,no,no,cellular,3,aug,392,4,181,3,success
25815,35,blue-collar,married,secondary,no,0,yes,yes,cellular,13,may,291,8,293,1,failure
25816,50,retired,married,secondary,no,8648,no,no,cellular,12,may,731,3,176,1,failure
25820,41,admin.,single,secondary,no,2002,yes,no,cellular,15,may,172,2,350,1,failure
25822,34,management,married,tertiary,no,1288,yes,no,cellular,11,may,15,8,270,7,other
25823,24,student,single,primary,no,1235,no,no,cellular,14,jul,334,4,93,6,other
25826,31,blue-collar,married,primary,no,2929,yes,no,cellular,20,apr,237,3,150,3,failure
25829,60,technician,married,secondary,no,116,no,no,cellular,11,aug,329,2,181,8,success
25831,30,technician,single,secondary,no,2371,no,no,cellular,14,jun,661,1,384,2,other
25834,77,retired,married,secondary,no,638,no,no,cellular,11,feb,288,1,188,1,success
25837,32,technician,single,tertiary,no,696,no,yes,cellular,13,aug,101,4,105,4,failure
25838,50,blue-collar,married,primary,no,1549,yes,no,cellular,11,may,445,2,299,6,other
25841,42,technician,married,tertiary,no,757,no,no,cellular,30,apr,354,1,79,1,success
25845,36,admin.,divorced,tertiary,no,4708,no,no,cellular,3,dec,284,1,171,1,failure
25848,32,management,married,tertiary,no,2737,yes,yes,cellular,21,nov,44,4,182,1,failure
25849,45,admin.,married,secondary,no,1097,yes,yes,cellular,2,feb,174,1,208,1,failure
25861,44,technician,married,secondary,no,533,yes,no,cellular,18,nov,127,1,110,2,failure
25862,47,unemployed,divorced,secondary,no,0,no,yes,cellular,30,jan,127,2,233,8,other
25864,38,technician,divorced,secondary,no,1559,yes,no,cellular,18,may,22,6,179,10,failure
25866,31,blue-collar,married,primary,no,124,yes,no,cellular,3,feb,343,1,264,4,failure
25873,34,management,married,tertiary,no,1006,yes,no,cellular,19,nov,783,3,195,2,other
25889,31,admin.,married,secondary,no,873,yes,no,cellular,3,jul,147,2,233,4,failure
25892,35,blue-collar,married,primary,no,443,yes,no,cellular,17,apr,185,2,316,3,other
25893,35,services,single,secondary,no,143,yes,yes,cellular,13,may,68,1,369,2,other
25895,29,blue-collar,married,secondary,no,2378,yes,yes,cellular,20,apr,239,1,276,6,failure
25909,27,technician,single,secondary,no,1842,yes,yes,cellular,18,may,687,2,300,1,failure
25913,26,admin.,single,secondary,no,255,no,no,cellular,30,apr,457,1,80,1,success
25914,61,self-employed,married,tertiary,no,10861,no,no,cellular,26,jul,336,2,259,3,success
25919,53,retired,married,secondary,no,4968,no,no,cellular,8,feb,94,1,333,1,other
25925,32,blue-collar,married,secondary,no,944,no,no,cellular,13,may,231,2,362,1,other
25927,32,services,married,secondary,no,413,yes,no,telephone,13,may,67,1,365,1,failure
25929,38,management,single,tertiary,no,3141,no,no,cellular,9,nov,347,4,189,2,success
25937,41,management,married,tertiary,no,13874,no,no,cellular,5,feb,255,1,234,2,other
25938,31,management,single,tertiary,no,358,yes,no,cellular,30,jan,68,3,256,51,failure
25947,66,retired,married,tertiary,no,1948,no,no,cellular,29,oct,106,2,269,2,failure
25948,33,admin.,married,secondary,no,920,no,no,cellular,13,aug,111,1,105,1,success
25953,40,management,married,secondary,no,643,yes,no,cellular,17,apr,74,2,256,1,failure
25959,28,self-employed,single,tertiary,no,805,no,no,cellular,26,may,69,1,99,1,success
25962,41,blue-collar,divorced,secondary,no,663,yes,no,telephone,22,jul,24,1,792,3,other
25978,32,management,divorced,tertiary,no,530,yes,no,cellular,24,sep,91,1,114,2,failure
25986,33,blue-collar,single,secondary,no,3975,yes,yes,cellular,17,apr,515,1,150,1,other
25988,42,management,married,primary,no,5310,yes,no,cellular,20,aug,273,1,90,3,success
25996,34,admin.,married,tertiary,no,0,yes,yes,cellular,3,aug,108,2,180,7,failure
26003,28,admin.,married,secondary,no,330,no,no,cellular,2,jun,226,2,182,4,success
26006,46,technician,married,tertiary,no,0,no,no,cellular,20,nov,531,1,167,1,failure
26010,49,management,married,tertiary,no,342,no,no,cellular,30,jan,433,2,228,1,failure
26011,54,entrepreneur,married,primary,no,943,yes,yes,telephone,11,may,194,1,340,2,failure
26014,38,housemaid,single,primary,no,199,yes,no,cellular,12,may,1203,1,306,1,failure
26027,60,blue-collar,married,primary,no,38,yes,no,cellular,15,may,109,11,373,1,other
26034,43,management,married,tertiary,no,176,yes,no,cellular,5,may,253,2,286,1,failure
26036,37,technician,married,secondary,no,807,yes,no,cellular,12,may,807,3,172,4,failure
26044,30,management,married,tertiary,no,6432,yes,no,cellular,21,nov,206,2,119,3,other
26053,37,services,married,secondary,no,321,yes,no,cellular,11,may,222,2,300,2,failure
26080,29,self-employed,single,tertiary,no,3290,no,no,cellular,12,may,430,1,50,3,success
26083,66,retired,married,secondary,no,154,no,no,cellular,15,jul,268,5,181,2,failure
26086,46,technician,married,secondary,no,0,no,no,cellular,30,apr,200,1,259,2,other
26103,23,student,single,tertiary,no,691,no,no,cellular,27,may,1178,1,178,6,success
26109,35,blue-collar,married,secondary,no,1831,yes,no,cellular,13,may,96,2,358,2,failure
26116,49,blue-collar,single,secondary,no,725,yes,no,cellular,13,may,29,6,348,4,other
26123,47,admin.,married,secondary,no,0,no,yes,cellular,29,jun,238,1,139,4,failure
26124,30,services,single,secondary,no,581,yes,no,cellular,15,may,267,1,354,1,other
26125,45,technician,married,secondary,no,3395,yes,no,cellular,18,nov,92,1,188,1,failure
26131,42,admin.,divorced,secondary,no,490,yes,no,cellular,8,nov,212,1,97,5,other
26136,43,blue-collar,married,secondary,no,30,no,no,cellular,14,may,60,5,371,2,failure
26138,33,technician,married,secondary,no,348,yes,no,cellular,7,may,263,2,294,1,success
26139,53,technician,divorced,secondary,no,388,yes,yes,cellular,29,jan,67,1,247,1,failure
26140,49,technician,married,tertiary,no,1071,no,no,cellular,16,sep,225,1,91,1,success
26148,34,blue-collar,married,primary,no,3868,yes,no,cellular,18,may,134,1,350,1,failure
26150,46,technician,divorced,secondary,no,0,yes,yes,cellular,8,may,306,1,262,1,other
26153,30,entrepreneur,single,tertiary,no,303,yes,no,cellular,14,may,176,2,365,4,failure
26156,59,unemployed,married,secondary,no,0,no,no,cellular,13,oct,78,1,216,1,failure
26157,51,technician,married,tertiary,no,1347,yes,yes,cellular,10,feb,160,1,243,1,failure
26162,47,services,married,secondary,no,1269,yes,no,cellular,7,may,181,1,253,6,other
26163,38,services,divorced,secondary,no,904,yes,no,cellular,16,apr,361,1,339,1,failure
26185,41,admin.,divorced,secondary,no,220,yes,no,cellular,14,aug,142,2,88,2,failure
26207,40,admin.,married,secondary,no,2591,yes,yes,cellular,7,apr,389,1,266,2,other
26213,34,management,married,tertiary,no,1657,yes,no,cellular,18,may,566,2,356,4,failure
26217,40,blue-collar,married,primary,no,1802,yes,no,cellular,17,apr,326,1,319,1,failure
26222,37,management,married,tertiary,no,57,no,no,cellular,30,apr,96,2,84,1,success
26225,55,technician,divorced,tertiary,no,0,no,no,cellular,17,nov,134,2,91,1,success
26226,36,blue-collar,divorced,secondary,no,421,yes,no,cellular,15,may,34,7,360,4,other
26244,66,retired,married,secondary,no,3409,no,no,cellular,12,may,801,1,86,2,failure
26252,34,blue-collar,single,secondary,no,381,yes,no,cellular,29,jan,83,1,262,1,failure
26261,39,technician,divorced,secondary,no,385,no,no,cellular,13,oct,242,1,48,2,failure
26262,27,student,single,secondary,no,8366,no,no,cellular,7,may,458,2,349,1,other
26274,79,retired,divorced,secondary,no,631,no,no,telephone,8,feb,105,2,181,1,failure
26284,75,retired,divorced,primary,no,1926,no,no,cellular,9,sep,761,1,93,5,other
26291,29,management,single,tertiary,no,697,no,no,cellular,30,apr,365,1,85,1,success
26297,29,technician,married,secondary,no,1180,yes,no,cellular,17,apr,367,3,323,3,failure
26306,41,technician,single,tertiary,no,1646,yes,no,cellular,5,aug,172,3,92,8,success
26320,59,management,married,primary,no,2769,yes,no,cellular,19,nov,104,1,131,2,failure
26321,72,retired,married,secondary,no,1129,no,no,cellular,25,nov,208,1,91,1,success
26323,47,services,divorced,primary,no,91,yes,no,cellular,17,apr,473,2,339,1,failure
26328,37,management,married,secondary,no,1180,yes,yes,cellular,1,apr,786,1,135,1,other
26337,33,blue-collar,married,primary,no,5151,yes,yes,cellular,20,nov,73,1,178,4,failure
26346,35,blue-collar,single,secondary,no,142,yes,no,cellular,26,may,293,2,19,3,failure
26351,33,technician,divorced,secondary,no,558,yes,no,cellular,21,nov,258,2,93,3,failure
26357,37,self-employed,divorced,secondary,no,1082,no,no,cellular,2,feb,127,3,5,5,other
26358,41,services,married,secondary,no,446,yes,no,cellular,18,nov,296,1,186,1,success
26371,52,services,married,secondary,no,992,yes,no,cellular,27,oct,424,1,515,1,failure
26379,33,management,divorced,tertiary,no,893,yes,no,cellular,29,jan,259,1,259,9,failure
26395,34,management,single,tertiary,no,26575,no,no,cellular,5,may,245,6,168,1,failure
26398,48,services,married,secondary,no,543,yes,no,cellular,16,apr,152,1,336,1,failure
26400,33,blue-collar,married,secondary,no,328,yes,no,cellular,20,apr,72,1,264,9,failure
26403,21,student,single,secondary,no,123,no,no,telephone,12,feb,379,5,93,2,success
26414,35,technician,single,secondary,no,27,yes,no,cellular,25,may,214,1,305,1,other
26417,57,admin.,married,secondary,no,403,yes,no,cellular,18,may,603,1,340,2,other
26420,27,management,single,tertiary,no,1720,no,no,cellular,15,jun,910,1,224,3,success
26433,46,blue-collar,married,secondary,no,521,yes,no,cellular,29,jan,246,1,226,3,failure
26434,33,technician,married,secondary,no,221,yes,no,cellular,13,may,669,1,355,4,failure
26439,47,admin.,divorced,secondary,no,2232,no,no,cellular,27,may,439,1,103,1,success
26442,38,blue-collar,married,secondary,no,1663,yes,no,cellular,13,apr,217,3,327,1,failure
26444,20,student,single,secondary,no,1191,no,no,cellular,28,sep,500,2,228,1,failure
26449,28,student,single,secondary,no,1925,no,no,cellular,25,nov,487,1,97,2,failure
26454,41,blue-collar,married,secondary,no,1384,yes,no,cellular,20,apr,106,4,340,4,success
26457,53,management,married,tertiary,no,1356,yes,no,cellular,5,aug,397,2,93,2,failure
26464,36,blue-collar,married,secondary,no,1589,yes,no,cellular,20,apr,345,2,341,6,other
26470,47,admin.,divorced,tertiary,no,846,yes,no,cellular,13,may,85,2,370,2,failure
26471,33,blue-collar,single,secondary,no,498,no,no,cellular,12,aug,338,2,104,1,success
26472,33,services,married,secondary,no,162,yes,no,cellular,13,may,135,1,364,2,failure
26477,31,management,single,tertiary,no,3283,no,no,cellular,2,feb,258,1,73,1,failure
26478,39,blue-collar,married,secondary,no,4430,yes,no,cellular,18,may,13,4,362,1,other
26480,40,entrepreneur,married,tertiary,no,2644,yes,no,cellular,21,nov,110,2,185,1,failure
26485,80,retired,married,primary,no,1468,no,no,cellular,13,jul,256,2,181,3,success
26488,41,management,married,secondary,no,611,yes,no,cellular,6,feb,38,1,212,1,other
26496,42,technician,married,secondary,no,994,yes,no,cellular,12,nov,227,3,93,6,success
26498,37,blue-collar,married,primary,no,120,yes,no,cellular,8,may,80,4,358,1,other
26501,34,admin.,married,tertiary,no,10,no,no,cellular,21,aug,90,1,91,1,failure
26504,32,management,married,tertiary,no,1270,no,no,cellular,3,sep,420,1,15,3,success
26505,36,management,single,tertiary,no,1379,no,no,cellular,25,may,189,1,186,1,failure
26519,36,admin.,married,secondary,no,725,yes,no,cellular,27,feb,123,3,99,8,failure
26524,53,technician,married,secondary,no,65,no,no,cellular,25,nov,99,1,92,2,failure
26529,41,self-employed,married,tertiary,no,6000,yes,no,cellular,15,may,217,6,178,1,failure
26534,51,management,single,tertiary,no,297,yes,no,cellular,15,may,415,4,375,1,failure
26537,32,management,divorced,tertiary,no,883,yes,no,cellular,10,dec,798,1,185,5,other
26538,53,services,married,primary,no,2618,yes,no,cellular,5,may,185,2,165,2,failure
26543,38,admin.,single,secondary,no,262,no,no,cellular,3,feb,315,2,180,6,failure
26545,46,services,divorced,secondary,no,864,yes,no,cellular,18,nov,105,5,188,2,failure
26559,28,management,single,secondary,no,171,no,no,cellular,5,jun,324,1,87,1,success
26567,37,management,married,tertiary,no,596,yes,no,cellular,13,may,281,1,345,2,failure
26577,41,services,married,secondary,no,6687,yes,no,cellular,21,nov,41,2,123,3,failure
26579,39,blue-collar,married,secondary,no,660,yes,yes,cellular,7,may,93,4,168,3,failure
26581,55,management,married,secondary,no,2693,no,no,cellular,22,sep,182,1,184,7,success
26586,31,blue-collar,married,secondary,no,136,no,no,cellular,12,may,228,2,267,1,failure
26590,53,retired,married,tertiary,no,1452,no,yes,cellular,19,nov,442,2,113,3,failure
26596,54,housemaid,married,secondary,no,1182,yes,no,cellular,6,may,118,2,241,2,failure
26598,33,blue-collar,married,primary,no,158,yes,no,cellular,4,feb,110,1,264,4,failure
26602,59,technician,divorced,secondary,no,797,yes,no,cellular,18,nov,319,2,165,2,failure
26604,59,management,married,tertiary,no,1831,no,no,cellular,17,feb,122,1,92,1,failure
26608,50,admin.,married,secondary,no,10250,yes,no,cellular,7,dec,254,3,385,2,other
26613,36,housemaid,single,secondary,no,1015,yes,no,cellular,18,may,1008,1,347,2,success
26618,34,blue-collar,married,primary,no,6718,no,no,cellular,13,jan,278,4,97,1,other
26624,40,technician,married,secondary,no,4441,yes,no,cellular,20,nov,153,2,183,2,failure
26628,51,management,married,tertiary,no,1854,yes,yes,cellular,7,may,166,3,338,2,failure
26632,30,unemployed,single,tertiary,no,4082,no,no,telephone,14,jun,215,1,459,17,other
26635,28,admin.,single,tertiary,no,832,no,no,telephone,29,mar,433,3,342,1,failure
26641,55,management,divorced,tertiary,no,481,yes,no,telephone,8,may,147,2,298,3,failure
26644,36,management,married,tertiary,no,203,no,no,cellular,23,jul,608,3,179,2,success
26646,53,admin.,married,secondary,no,10541,no,no,cellular,9,feb,164,2,92,1,success
26647,58,management,married,tertiary,no,4152,yes,no,cellular,30,apr,750,2,164,4,other
26648,39,management,single,tertiary,no,2454,yes,no,cellular,4,may,716,3,263,2,failure
26651,33,management,married,secondary,no,350,yes,no,cellular,13,may,205,1,350,2,failure
26659,34,management,married,tertiary,no,714,yes,no,cellular,21,nov,328,4,113,27,failure
26662,30,blue-collar,single,secondary,no,348,yes,no,cellular,14,may,14,3,358,1,other
26669,34,technician,single,secondary,no,341,no,yes,cellular,29,jan,136,1,262,3,failure
26672,60,admin.,divorced,secondary,no,663,no,yes,cellular,30,jan,385,3,197,1,other
26682,44,management,married,tertiary,no,1451,yes,no,cellular,17,nov,157,3,150,12,failure
26686,33,technician,married,secondary,no,318,yes,no,cellular,14,may,108,4,342,14,other
26698,37,management,married,tertiary,no,0,yes,no,cellular,6,may,149,1,13,12,success
26712,35,blue-collar,married,primary,no,0,yes,no,cellular,8,may,265,1,290,2,failure
26722,24,student,single,secondary,no,1234,no,no,cellular,21,jul,314,1,156,2,success
26733,41,blue-collar,married,primary,no,6596,yes,no,cellular,7,may,192,1,168,1,failure
26736,61,housemaid,married,primary,no,182,no,no,cellular,9,nov,335,1,92,13,failure
26741,50,entrepreneur,married,primary,no,300,yes,no,cellular,8,may,99,1,339,2,other
26753,59,housemaid,married,secondary,no,0,no,no,telephone,7,aug,107,2,63,1,failure
26754,34,management,married,tertiary,no,0,yes,no,cellular,30,apr,300,1,86,1,success
26757,59,blue-collar,married,primary,no,699,no,no,cellular,28,jan,98,1,154,6,failure
26758,57,retired,married,secondary,no,3738,yes,no,cellular,20,jul,178,2,92,8,failure
26762,32,admin.,single,secondary,no,6981,yes,no,cellular,2,jun,154,1,194,3,failure
26765,52,self-employed,married,tertiary,no,4012,no,no,cellular,31,aug,634,3,92,5,other
26771,46,admin.,married,secondary,no,939,no,no,cellular,5,feb,69,2,8,1,other
26774,61,retired,married,secondary,no,86,no,no,cellular,25,jan,639,1,94,1,success
26781,25,admin.,single,secondary,no,483,no,yes,cellular,30,apr,68,1,86,1,success
26782,57,admin.,single,secondary,no,738,no,no,cellular,4,may,490,3,168,1,failure
26791,40,unemployed,single,tertiary,no,7968,no,no,cellular,3,sep,733,1,93,1,success
26807,37,technician,married,secondary,no,1116,yes,no,cellular,3,feb,18,6,201,7,other
26812,27,unemployed,single,secondary,no,771,no,no,cellular,21,oct,181,1,302,3,other
26825,57,technician,divorced,primary,no,13,yes,no,cellular,8,may,323,2,368,2,failure
26828,27,technician,divorced,secondary,no,21,yes,no,cellular,18,may,336,1,356,1,failure
26836,48,admin.,married,secondary,no,660,no,no,cellular,18,feb,318,1,561,2,success
26839,53,management,married,secondary,no,2693,no,no,cellular,5,mar,90,1,104,1,failure
26842,38,management,married,tertiary,no,238,no,no,cellular,4,aug,139,1,92,3,failure
26846,48,blue-collar,married,secondary,no,113,yes,no,cellular,16,apr,255,2,318,5,other
26847,47,blue-collar,married,secondary,no,398,yes,yes,cellular,1,apr,274,1,238,2,failure
26848,48,blue-collar,married,secondary,no,1230,yes,no,cellular,13,may,328,2,182,3,success
26865,33,technician,divorced,secondary,no,273,yes,no,cellular,17,apr,181,1,317,1,failure
26875,34,technician,divorced,secondary,no,1301,yes,no,cellular,30,jan,196,2,189,2,failure
26876,52,services,married,secondary,no,2904,yes,no,cellular,15,apr,201,6,272,3,failure
26882,48,blue-collar,married,secondary,no,709,yes,no,cellular,13,may,117,2,278,3,other
26883,51,technician,married,tertiary,no,1347,yes,yes,cellular,30,apr,116,1,79,2,success
26892,39,technician,divorced,secondary,no,902,yes,no,cellular,10,feb,691,2,180,5,failure
26893,22,student,single,tertiary,no,691,no,no,cellular,30,nov,260,5,103,1,success
26909,31,admin.,married,secondary,no,389,yes,no,cellular,7,dec,69,1,185,2,failure
26910,41,blue-collar,married,primary,no,254,yes,no,cellular,12,may,25,1,309,3,failure
26920,38,unemployed,single,secondary,no,1354,yes,no,cellular,13,may,364,2,343,4,failure
26923,28,entrepreneur,married,secondary,no,490,yes,no,cellular,17,apr,728,1,316,3,other
26931,25,admin.,single,secondary,no,1235,yes,yes,cellular,14,may,64,1,349,3,failure
26932,33,management,married,tertiary,no,81,yes,no,cellular,22,may,104,1,186,1,failure
26941,34,admin.,married,secondary,no,1467,yes,no,cellular,17,apr,113,1,332,2,failure
26952,33,services,divorced,secondary,no,2411,yes,no,cellular,23,oct,130,1,161,1,failure
26963,37,technician,married,tertiary,no,127,yes,no,cellular,25,aug,192,1,193,1,success
26964,40,management,divorced,tertiary,no,502,yes,no,cellular,3,feb,267,4,270,3,other
26971,39,admin.,married,secondary,no,3732,yes,no,cellular,18,nov,515,1,181,2,failure
26976,38,admin.,single,secondary,no,245,yes,yes,cellular,12,aug,251,2,117,4,failure
26977,44,technician,married,secondary,no,1901,no,no,cellular,18,nov,143,3,104,2,failure
26979,56,retired,married,primary,no,16432,no,no,cellular,19,feb,702,2,189,2,failure
26982,45,blue-collar,married,secondary,no,226,no,no,telephone,4,feb,170,2,212,2,failure
26991,35,technician,married,secondary,no,294,yes,no,cellular,9,mar,301,1,90,4,success
26998,40,unemployed,single,secondary,no,356,yes,no,cellular,4,may,225,2,339,2,failure
26999,33,management,married,tertiary,no,2044,yes,no,cellular,15,may,102,3,177,1,failure
27005,35,technician,married,tertiary,no,1526,yes,no,cellular,2,feb,236,2,217,4,failure
27006,38,blue-collar,married,secondary,no,566,yes,yes,telephone,17,apr,318,2,332,6,other
27033,54,retired,married,secondary,no,1139,yes,no,cellular,14,may,155,1,177,7,failure
27042,57,technician,married,secondary,no,589,yes,no,cellular,11,aug,167,1,190,5,failure
27046,45,blue-collar,married,secondary,no,577,yes,no,cellular,13,may,154,2,350,3,failure
27052,53,blue-collar,married,primary,no,273,yes,no,cellular,18,may,248,1,279,2,failure
27053,29,housemaid,single,tertiary,no,19,no,no,cellular,3,dec,274,1,230,1,success
27056,40,blue-collar,married,primary,no,2133,yes,yes,cellular,6,apr,377,3,325,1,failure
27057,37,services,single,secondary,no,1045,no,no,cellular,17,mar,406,2,41,1,failure
27060,41,admin.,divorced,secondary,no,6046,yes,yes,telephone,15,mar,300,6,182,2,success
27076,32,services,married,secondary,no,414,yes,no,cellular,3,feb,236,2,272,1,failure
27087,80,retired,married,primary,no,155,no,no,telephone,4,may,209,1,53,3,success
27092,33,blue-collar,married,secondary,no,20,yes,yes,cellular,13,may,259,1,370,3,failure
27108,33,technician,married,secondary,no,4790,yes,no,cellular,20,apr,137,1,272,2,failure
27111,37,services,married,secondary,no,4954,yes,no,cellular,14,may,290,4,356,3,other
27120,32,technician,married,secondary,no,169,yes,no,cellular,12,may,85,4,350,1,failure
27127,37,technician,married,secondary,no,5287,yes,yes,cellular,19,nov,599,4,100,2,failure
27128,48,management,married,tertiary,no,1147,no,no,cellular,5,aug,389,1,64,2,success
27142,39,management,married,tertiary,no,63,yes,no,cellular,16,apr,479,1,330,1,failure
27146,37,management,divorced,tertiary,no,132,yes,no,cellular,5,feb,175,5,253,1,other
27148,64,housemaid,married,primary,no,768,no,no,cellular,15,jul,250,2,182,1,success
27157,44,admin.,single,secondary,no,733,yes,no,cellular,4,dec,360,2,105,5,success
27163,41,admin.,married,secondary,no,1010,yes,no,cellular,17,apr,47,1,338,1,failure
27167,50,admin.,married,tertiary,no,6574,no,no,cellular,8,sep,495,1,92,3,success
27174,36,blue-collar,married,secondary,no,0,yes,no,cellular,17,apr,87,2,322,4,failure
27179,34,technician,single,secondary,no,1313,no,no,cellular,12,aug,176,1,21,6,failure
27188,43,blue-collar,married,secondary,no,3311,yes,no,telephone,20,nov,105,2,184,3,other
