户型,建筑面积,朝向,楼层,装修,建筑年代,电梯,产权性质,住宅类别,建筑结构,建筑类别,区域,单价,地铁,地铁距离,总价
3室2厅1卫,123.18,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,江汉,15019.0,2号线,800米,185.0
3室2厅2卫,130.0,东北,底层,简装修,2025,有,商品房,普通住宅,平层,板楼,武昌,21538.0,8号线,607米,280.0
3室2厅2卫,125.0,南北,高层,毛坯,2021,有,商品房,普通住宅,平层,板楼,武昌,15600.0,11号线,472米,195.0
4室1厅2卫,127.5,南北,高层,简装修,1999,有,商品房,普通住宅,平层,板楼,武昌,14510.0,7号线,1036米,185.0
3室1厅1卫,89.34,南,中层,简装修,2006,有,商品房,普通住宅,平层,板楼,东西湖,10410.0,6号线,830米,93.0
2室2厅1卫,92.1,南北,中层,精装修,2014,有,商品房,普通住宅,平层,板楼,东湖高新区,17372.0,2号线,861米,160.0
4室2厅3卫,230.0,南北,中层,毛坯,2018,有,商品房,普通住宅,平层,板楼,东湖高新区,15522.0,无,无,357.0
3室2厅1卫,115.66,南北,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,16514.0,8号线,929米,191.0
2室2厅1卫,83.71,南北,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,汉阳,13380.0,6号线,254米,112.0
2室2厅1卫,90.87,南,高层,简装修,2006,有,商品房,普通住宅,平层,板楼,江汉,9794.0,2号线,902米,89.0
3室2厅1卫,105.54,南北,中层,中装修,2006,有,商品房,普通住宅,平层,板楼,江汉,7864.0,7号线,527米,83.0
3室2厅1卫,95.23,东南,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,东西湖,8401.0,无,无,80.0
3室1厅1卫,71.09,南北,中层,中装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,9565.0,2号线,1102米,68.0
3室2厅1卫,101.52,南,中层,中装修,2006,有,商品房,普通住宅,平层,板楼,洪山,14283.0,5号线,405米,145.0
2室2厅1卫,90.16,西南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,江汉,13864.0,6号线,594米,125.0
3室2厅1卫,126.91,南,中层,毛坯,2006,有,商品房,普通住宅,平层,板楼,东西湖,8195.0,无,无,104.0
1室1厅1卫,35.14,南,中层,简装修,2006,有,商品房,普通住宅,平层,板楼,武昌,30450.0,7号线,292米,107.0
3室2厅2卫,128.0,南北,中层,毛坯,2022,有,商品房,普通住宅,平层,板楼,江夏,11719.0,7号线,716米,150.0
3室1厅1卫,95.88,东南,高层,中装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,9804.0,无,无,94.0
3室1厅1卫,97.89,南,高层,毛坯,2006,有,商品房,普通住宅,平层,板楼,东西湖,7049.0,无,无,69.0
3室2厅2卫,96.05,东南,中层,毛坯,2006,有,商品房,普通住宅,平层,板楼,江岸,37480.0,1号线,278米,360.0
3室2厅1卫,86.18,南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,武昌,18102.0,5号线,874米,156.0
3室2厅1卫,144.67,南北,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,9332.0,8号线,967米,135.0
3室2厅1卫,116.93,南北,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,武昌,20183.0,7号线,407米,236.0
3室2厅2卫,111.0,南北,中层,毛坯,2023,有,商品房,普通住宅,平层,板楼,青山,15766.0,4号线,470米,175.0
3室2厅2卫,123.18,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,18591.0,无,无,229.0
3室2厅1卫,90.23,南北,低层,简装修,2006,有,商品房,普通住宅,平层,板楼,武昌,16181.0,7号线,292米,146.0
3室2厅1卫,126.91,南北,高层,毛坯,2006,有,商品房,普通住宅,平层,板楼,东西湖,7486.0,无,无,95.0
3室2厅1卫,132.78,南,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,东西湖,8284.0,无,无,110.0
3室2厅2卫,106.48,南,高层,简装修,2021,有,商品房,普通住宅,平层,板楼,东湖高新区,9298.0,无,无,99.0
3室2厅1卫,123.6,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,江汉,15615.0,2号线,800米,193.0
3室2厅1卫,99.25,南北,低层,简装修,2006,有,商品房,普通住宅,平层,板楼,东西湖,6045.0,无,无,60.0
3室2厅1卫,126.91,东南,中层,毛坯,2006,有,商品房,普通住宅,平层,板楼,东西湖,8510.0,无,无,108.0
3室2厅1卫,111.17,南,低层,精装修,2016,有,商品房,普通住宅,平层,板楼,硚口,12593.0,1号线,715米,140.0
3室2厅1卫,124.09,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,江汉,12733.0,2号线,972米,158.0
2室2厅1卫,72.33,南,中层,中装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,12166.0,无,无,88.0
4室2厅3卫,230.0,南北,低层,毛坯,2018,有,商品房,普通住宅,平层,板楼,东湖高新区,16522.0,无,无,380.0
4室2厅1卫,139.52,南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,东西湖,7812.0,无,无,109.0
1室1厅1卫,38.91,南,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,武昌,31354.0,7号线,576米,122.0
3室2厅2卫,130.97,南,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,武昌,17943.0,7号线,292米,235.0
2室2厅1卫,74.0,南,中层,精装修,2015,有,商品房,普通住宅,平层,板楼,洪山,21486.0,2号线,660米,159.0
3室2厅2卫,136.59,东南,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,16077.0,无,无,219.6
3室2厅1卫,126.32,南北,中层,精装修,2020,有,商品房,普通住宅,平层,板楼,东湖高新区,14962.0,11号线,739米,189.0
3室2厅2卫,101.49,南,中层,精装修,2020,有,商品房,普通住宅,平层,板楼,洪山,7488.0,无,无,76.0
3室2厅1卫,99.0,南北,低层,简装修,2022,有,商品房,普通住宅,平层,板楼,青山,14141.0,5号线,606米,140.0
3室2厅2卫,116.19,南北,低层,毛坯,2006,有,商品房,普通住宅,平层,板楼,青山,16396.0,5号线,606米,190.5
3室2厅1卫,91.05,南北,高层,中装修,2006,有,商品房,普通住宅,平层,板楼,武昌,16474.0,7号线,485米,150.0
3室2厅1卫,112.35,北,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,东西湖,6676.0,无,无,75.0
2室2厅1卫,77.09,西南,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,江汉,14269.0,2号线,751米,110.0
3室2厅2卫,139.02,南北,高层,中装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,23018.0,无,无,320.0
3室2厅1卫,89.29,南北,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,东西湖,7000.0,无,无,62.5
2室2厅1卫,88.36,南,中层,中装修,2006,有,商品房,普通住宅,平层,板楼,东西湖,9959.0,无,无,88.0
3室2厅2卫,132.0,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,11212.0,无,无,148.0
3室2厅1卫,116.93,南,低层,精装修,2016,有,商品房,普通住宅,平层,板楼,东湖高新区,14966.0,无,无,175.0
3室2厅2卫,135.22,南北,低层,毛坯,2006,有,商品房,普通住宅,平层,板楼,江岸,29951.0,1号线,61米,405.0
3室2厅1卫,107.6,南,高层,中装修,2013,有,商品房,普通住宅,平层,板楼,东湖高新区,17937.0,2号线,861米,193.0
4室2厅3卫,172.71,西南,低层,毛坯,2006,有,商品房,普通住宅,平层,板楼,江岸,31845.0,1号线,278米,550.0
3室2厅2卫,121.84,南北,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,12147.0,无,无,148.0
2室2厅1卫,96.52,南北,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,8268.0,无,无,79.8
3室2厅1卫,93.47,东南,低层,简装修,2006,有,商品房,普通住宅,平层,板楼,东西湖,6419.0,无,无,60.0
4室2厅2卫,128.89,西南,低层,中装修,2006,有,商品房,普通住宅,平层,板楼,江岸,32198.0,1号线,761米,415.0
3室1厅1卫,83.68,南北,中层,简装修,2003,有,商品房,普通住宅,平层,板楼,武昌,19957.0,7号线,419米,167.0
3室2厅1卫,134.2,南,低层,简装修,2006,有,商品房,普通住宅,平层,板楼,江汉,11550.0,6号线,594米,155.0
3室2厅1卫,126.64,南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,东西湖,8054.0,无,无,102.0
3室1厅1卫,93.47,南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,江汉,17118.0,2号线,658米,160.0
3室2厅1卫,86.71,南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,14185.0,8号线,929米,123.0
3室2厅2卫,123.01,南北,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,18291.0,无,无,225.0
3室2厅1卫,126.64,南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,东西湖,7896.0,无,无,100.0
5室2厅1卫,206.06,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,29846.0,7号线,1008米,615.0
3室2厅2卫,105.0,南北,低层,精装修,2021,有,商品房,普通住宅,平层,板楼,汉阳,12857.0,无,无,135.0
3室2厅1卫,101.52,南,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,13790.0,5号线,405米,140.0
2室2厅1卫,72.33,北,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,14517.0,无,无,105.0
4室2厅1卫,124.03,南北,中层,简装修,2020,有,商品房,普通住宅,平层,板楼,东湖高新区,20076.0,11号线,685米,249.0
3室2厅1卫,121.47,南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,武昌,18111.0,5号线,820米,220.0
3室2厅2卫,112.83,东,中层,毛坯,2019,有,商品房,普通住宅,平层,板楼,江岸,10104.0,1号线,483米,114.0
3室2厅1卫,103.65,南,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,东西湖,7815.0,无,无,81.0
3室2厅1卫,85.87,南北,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,15838.0,8号线,929米,136.0
3室2厅1卫,116.83,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,16691.0,8号线,929米,195.0
3室2厅1卫,114.74,南,中层,毛坯,2006,有,商品房,普通住宅,平层,板楼,东西湖,8454.0,无,无,97.0
3室2厅2卫,125.0,南,中层,简装修,2020,有,商品房,普通住宅,平层,板楼,硚口,16800.0,1号线,608米,210.0
3室2厅1卫,126.91,西南,中层,毛坯,2006,有,商品房,普通住宅,平层,板楼,东西湖,8668.0,无,无,110.0
2室2厅1卫,79.64,南,低层,精装修,2010,有,商品房,普通住宅,平层,板楼,江汉,9041.0,7号线,725米,72.0
3室2厅1卫,103.0,南,底层,毛坯,2006,有,商品房,普通住宅,平层,板楼,江汉,17282.0,3号线,548米,178.0
3室2厅1卫,83.66,南,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,江汉,17691.0,2号线,658米,148.0
4室2厅1卫,118.83,南,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,武昌,46116.0,4号线,562米,548.0
3室2厅1卫,94.52,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,12907.0,7号线,597米,122.0
3室2厅1卫,91.34,南北,高层,简装修,2021,有,商品房,普通住宅,平层,板楼,东湖高新区,9306.0,无,无,85.0
3室1厅1卫,82.76,南北,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,江汉,19091.0,无,无,158.0
3室1厅1卫,70.74,东南,低层,中装修,2006,有,商品房,普通住宅,平层,板楼,江汉,11592.0,2号线,803米,82.0
4室2厅1卫,116.26,南,高层,中装修,2006,有,商品房,普通住宅,平层,板楼,东西湖,9290.0,无,无,108.0
3室2厅1卫,99.0,南北,低层,简装修,2022,有,商品房,普通住宅,平层,板楼,青山,15152.0,5号线,606米,150.0
3室2厅2卫,110.35,南,高层,毛坯,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,17037.0,无,无,188.0
3室1厅1卫,97.89,南,高层,毛坯,2006,有,商品房,普通住宅,平层,板楼,东西湖,7457.0,无,无,73.0
4室2厅1卫,180.3,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,武昌,19856.0,5号线,548米,358.0
3室2厅1卫,90.08,南,中层,中装修,2006,有,商品房,普通住宅,平层,板楼,东西湖,6772.0,无,无,61.0
3室2厅2卫,130.45,南北,高层,毛坯,2011,有,商品房,普通住宅,平层,板楼,洪山,19164.0,2号线,403米,250.0
3室2厅1卫,72.17,南北,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,9533.0,2号线,1102米,68.8
3室2厅1卫,104.82,南,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,13642.0,11号线,472米,143.0
3室1厅1卫,97.1,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,东西湖,6694.0,无,无,65.0
3室2厅1卫,90.32,南北,高层,毛坯,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,9743.0,11号线,932米,88.0
4室2厅1卫,143.36,南北,中层,简装修,2006,有,商品房,普通住宅,平层,板楼,江汉,10812.0,2号线,902米,155.0
3室2厅2卫,115.0,南,底层,简装修,2023,有,商品房,普通住宅,平层,板楼,江岸,7826.0,21号线,453米,90.0
3室2厅1卫,108.06,南,中层,精装修,2022,有,商品房,普通住宅,平层,板楼,东湖高新区,14436.0,无,无,156.0
3室2厅2卫,107.0,南北,中层,简装修,2022,有,商品房,普通住宅,平层,板楼,东西湖,7477.0,2号线,202米,80.0
4室2厅1卫,140.74,南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,东西湖,16555.0,无,无,233.0
3室2厅1卫,118.42,南北,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,13765.0,11号线,721米,163.0
2室2厅1卫,89.46,南,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,11178.0,8号线,717米,100.0
3室2厅1卫,97.1,南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,东西湖,9063.0,无,无,88.0
3室1厅1卫,104.37,南,中层,精装修,2010,有,商品房,普通住宅,平层,板楼,洪山,10539.0,5号线,1030米,110.0
3室2厅2卫,114.07,南,中层,毛坯,2019,有,商品房,普通住宅,平层,板楼,洪山,7452.0,无,无,85.0
3室2厅2卫,112.0,南,高层,简装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,16964.0,2号线,1054米,190.0
2室2厅1卫,91.35,东南,高层,简装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,11253.0,无,无,102.8
3室2厅1卫,91.39,南北,低层,中装修,2016,有,商品房,普通住宅,平层,板楼,东湖高新区,10942.0,无,无,100.0
5室2厅3卫,246.61,南,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,10948.0,8号线,967米,270.0
2室2厅1卫,85.7,南,中层,简装修,2005,有,商品房,普通住宅,平层,板楼,武昌,18670.0,7号线,613米,160.0
3室2厅1卫,134.4,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,武昌,33482.0,4号线,562米,450.0
3室2厅2卫,128.0,南北,低层,精装修,2020,有,商品房,普通住宅,平层,板楼,武汉周边,3047.0,无,无,39.0
5室2厅1卫,139.87,南,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,武昌,39680.0,4号线,443米,555.0
3室2厅1卫,90.27,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,13847.0,无,无,125.0
3室1厅1卫,95.72,东,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,东西湖,8253.0,无,无,79.0
3室2厅1卫,107.03,南北,低层,毛坯,2006,有,商品房,普通住宅,平层,板楼,东西湖,7783.0,无,无,83.3
3室2厅2卫,113.2,南,高层,精装修,2014,有,商品房,普通住宅,平层,板楼,洪山,17226.0,无,无,195.0
3室1厅1卫,71.28,南,中层,中装修,2006,有,商品房,普通住宅,平层,板楼,江汉,11223.0,2号线,803米,80.0
2室2厅1卫,83.7,南,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,江汉,13381.0,无,无,112.0
3室2厅1卫,157.27,南北,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,武昌,33700.0,4号线,562米,530.0
3室2厅1卫,126.27,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,江汉,12909.0,2号线,411米,163.0
3室2厅1卫,93.09,南北,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,江汉,12246.0,2号线,777米,114.0
2室2厅1卫,83.71,南,高层,精装修,2016,有,商品房,普通住宅,平层,板楼,东湖高新区,12543.0,2号线,855米,105.0
2室1厅1卫,53.11,南北,中层,简装修,2006,有,商品房,普通住宅,平层,板楼,江岸,21088.0,1号线,302米,112.0
3室2厅2卫,121.19,南北,中层,毛坯,2019,有,商品房,普通住宅,平层,板楼,东湖高新区,19639.0,2号线,633米,238.0
2室2厅2卫,135.0,东南,底层,简装修,2006,有,商品房,普通住宅,平层,板楼,江岸,25556.0,1号线,399米,345.0
4室2厅1卫,144.09,东南,低层,简装修,2006,有,商品房,普通住宅,平层,板楼,江汉,7287.0,6号线,638米,105.0
3室2厅1卫,97.0,南北,高层,毛坯,2006,有,商品房,普通住宅,平层,板楼,东西湖,5876.0,无,无,57.0
3室2厅1卫,97.08,南,中层,毛坯,2006,有,商品房,普通住宅,平层,板楼,东西湖,7417.0,无,无,72.0
2室2厅1卫,88.85,南,中层,精装修,2016,有,商品房,普通住宅,平层,板楼,东湖高新区,9229.0,无,无,82.0
3室2厅1卫,85.13,南北,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,江汉,9985.0,7号线,725米,85.0
3室2厅2卫,135.57,南北,高层,精装修,2012,有,商品房,普通住宅,平层,板楼,洪山,21244.0,2号线,403米,288.0
3室1厅1卫,96.24,南北,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,江汉,13300.0,6号线,400米,128.0
3室2厅2卫,108.0,南北,中层,简装修,2025,有,商品房,普通住宅,平层,板楼,青山,13333.0,4号线,561米,144.0
4室2厅1卫,141.0,南北,高层,精装修,2015,有,商品房,普通住宅,平层,板楼,洪山,21277.0,2号线,106米,300.0
2室2厅1卫,89.37,南北,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,江汉,9511.0,6号线,638米,85.0
3室1厅1卫,89.47,北,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,东西湖,10618.0,6号线,830米,95.0
3室2厅1卫,108.58,东南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,14920.0,无,无,162.0
2室2厅1卫,79.01,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,江汉,15568.0,6号线,994米,123.0
3室1厅1卫,112.24,南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,东西湖,7573.0,无,无,85.0
4室2厅2卫,124.0,南北,中层,简装修,2020,有,商品房,普通住宅,平层,板楼,东西湖,8871.0,2号线,202米,110.0
3室2厅2卫,132.81,南,高层,精装修,2007,有,商品房,普通住宅,平层,板楼,武昌,15059.0,4号线,238米,200.0
3室2厅1卫,111.41,南北,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,江汉,14182.0,2号线,902米,158.0
4室2厅2卫,127.0,南北,中层,精装修,2018,有,商品房,普通住宅,平层,板楼,武昌,25039.0,4号线,943米,318.0
3室2厅1卫,125.44,南北,高层,中装修,2006,有,商品房,普通住宅,平层,板楼,武昌,15944.0,7号线,1064米,200.0
4室2厅2卫,129.7,南,高层,毛坯,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,11180.0,11号线,932米,145.0
3室2厅2卫,111.41,南,低层,毛坯,2024,有,商品房,普通住宅,平层,板楼,江岸,21542.0,3号线,652米,240.0
3室2厅2卫,120.6,南北,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,12007.0,无,无,144.8
3室2厅1卫,93.35,南,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,汉阳,13712.0,4号线,389米,128.0
3室2厅1卫,135.65,东南,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,武昌,23443.0,4号线,729米,318.0
3室2厅2卫,109.78,北,中层,毛坯,2020,有,商品房,普通住宅,平层,板楼,东湖高新区,12571.0,11号线,739米,138.0
3室2厅1卫,133.69,南北,低层,中装修,2012,有,商品房,普通住宅,平层,板楼,江汉,21318.0,2号线,169米,285.0
4室2厅2卫,125.65,南,中层,简装修,2018,有,商品房,普通住宅,平层,板楼,洪山,11301.0,无,无,142.0
2室2厅1卫,93.17,南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,8801.0,4号线,482米,82.0
3室2厅1卫,95.94,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,14488.0,8号线,929米,139.0
2室2厅1卫,80.99,南,高层,中装修,2006,有,商品房,普通住宅,平层,板楼,洪山,9137.0,5号线,445米,74.0
3室2厅1卫,131.77,南北,高层,简装修,2006,有,商品房,普通住宅,平层,板楼,江汉,18365.0,2号线,411米,242.0
2室1厅1卫,71.57,南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,12575.0,7号线,905米,90.0
2室1厅1卫,60.52,北,高层,简装修,2006,有,商品房,普通住宅,平层,板楼,洪山,7931.0,4号线,929米,48.0
4室2厅1卫,268.27,南北,低层,中装修,2016,有,商品房,普通住宅,平层,板楼,硚口,27211.0,1号线,219米,730.0
3室2厅2卫,110.04,南,低层,毛坯,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,16358.0,无,无,180.0
4室2厅2卫,139.95,南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,15363.0,无,无,215.0
3室2厅1卫,111.02,南北,中层,简装修,2016,有,商品房,普通住宅,平层,板楼,硚口,19456.0,1号线,219米,216.0
3室2厅2卫,140.81,南北,高层,精装修,2015,有,商品房,普通住宅,平层,板楼,硚口,18465.0,1号线,219米,260.0
3室2厅1卫,108.62,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,14362.0,8号线,929米,156.0
3室2厅1卫,93.12,南北,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,14820.0,7号线,905米,138.0
4室2厅2卫,143.36,南北,中层,简装修,2006,有,商品房,普通住宅,平层,板楼,江汉,10672.0,2号线,902米,153.0
4室2厅1卫,168.05,南北,高层,精装修,2002,有,商品房,普通住宅,平层,板楼,江汉,14579.0,2号线,420米,245.0
3室2厅2卫,125.0,南北,底层,简装修,2006,有,商品房,普通住宅,平层,板楼,硚口,13840.0,3号线,158米,173.0
3室2厅2卫,92.11,南北,高层,精装修,2006,有,商品房,普通住宅,平层,板楼,东湖高新区,15525.0,无,无,143.0
2室1厅1卫,64.1,西南,低层,精装修,2006,有,商品房,普通住宅,平层,板楼,江岸,14821.0,8号线,946米,95.0
3室2厅2卫,109.0,南,中层,毛坯,2021,有,商品房,普通住宅,平层,板楼,江汉,11927.0,2号线,567米,130.0
3室2厅2卫,139.02,东南,高层,中装修,2019,有,商品房,普通住宅,平层,板楼,东湖高新区,15825.0,无,无,220.0
4室2厅1卫,164.37,南北,中层,中装修,2006,有,商品房,普通住宅,平层,板楼,江汉,18556.0,2号线,403米,305.0
3室2厅1卫,93.86,南,中层,精装修,2006,有,商品房,普通住宅,平层,板楼,洪山,15768.0,8号线,929米,148.0
