户型,建筑面积,朝向,楼层,装修,建筑年代,电梯,产权性质,住宅类别,建筑结构,建筑类别,区域,单价,地铁,地铁距离,总价
3室2厅1卫,115.66平米,南北,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,洪山,16514元/平米,8号线,929米,191.0
2室2厅1卫,83.71平米,南北,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,汉阳,13380元/平米,6号线,254米,112.0
2室2厅1卫,90.87平米,南,高层,简装修,2006年,有,商品房,普通住宅,平层,板楼,江汉,9794元/平米,2号线,902米,89.0
3室2厅1卫,105.54平米,南北,中层,中装修,2006年,有,商品房,普通住宅,平层,板楼,江汉,7864元/平米,7号线,527米,83.0
3室2厅1卫,95.23平米,东南,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东西湖,8401元/平米,无,无,80.0
2室2厅1卫,96.48平米,东南,中层,精装修,2015年,有,商品房,普通住宅,平层,,江汉,20211元/平米,7号线,729米,195.0
5室2厅4卫,243平米,,,毛坯,2020年,,,独栋,,,武汉周边,6173元/平米,无,无,150.0
3室1厅1卫,71.09平米,南北,中层,中装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,9565元/平米,2号线,1102米,68.0
4室2厅2卫,189.16平米,,,毛坯,2021年,,,独栋,,,蔡甸,17446元/平米,无,无,330.0
6室4厅3卫,295平米,,,毛坯,2013年,,,独栋,,,武汉周边,4068元/平米,无,无,120.0
3室2厅1卫,101.52平米,南,中层,中装修,2006年,有,商品房,普通住宅,平层,板楼,洪山,14283元/平米,5号线,405米,145.0
2室2厅1卫,90.16平米,西南,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,江汉,13864元/平米,6号线,594米,125.0
3室2厅1卫,126.91平米,南,中层,毛坯,2006年,有,商品房,普通住宅,平层,板楼,东西湖,8195元/平米,无,无,104.0
1室1厅1卫,35.14平米,南,中层,简装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,30450元/平米,7号线,292米,107.0
3室2厅2卫,128平米,南北,中层,毛坯,2022年,有,商品房,普通住宅,平层,板楼,江夏,11719元/平米,7号线,716米,150.0
3室1厅1卫,95.88平米,东南,高层,中装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,9804元/平米,无,无,94.0
3室1厅1卫,97.89平米,南,高层,毛坯,2006年,有,商品房,普通住宅,平层,板楼,东西湖,7049元/平米,无,无,69.0
3室2厅2卫,99平米,南北,高层,毛坯,2019年,有,个人产权,个人产权,平层,板楼,青山,15051元/平米,5号线,606米,149.0
3室2厅2卫,96.05平米,东南,中层,毛坯,2006年,有,商品房,普通住宅,平层,板楼,江岸,37480元/平米,1号线,278米,360.0
3室2厅1卫,86.18平米,南,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,18102元/平米,5号线,874米,156.0
3室2厅1卫,144.67平米,南北,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,洪山,9332元/平米,8号线,967米,135.0
3室2厅1卫,116.93平米,南北,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,20183元/平米,7号线,407米,236.0
3室2厅2卫,111平米,南北,中层,毛坯,2023年,有,商品房,普通住宅,平层,板楼,青山,15766元/平米,4号线,470米,175.0
3室2厅2卫,123.18平米,南北,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,18591元/平米,无,无,229.0
3室2厅1卫,90.23平米,南北,低层,简装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,16181元/平米,7号线,292米,146.0
3室2厅1卫,126.91平米,南北,高层,毛坯,2006年,有,商品房,普通住宅,平层,板楼,东西湖,7486元/平米,无,无,95.0
3室2厅1卫,132.78平米,南,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东西湖,8284元/平米,无,无,110.0
3室2厅2卫,106.48平米,南,高层,简装修,2021年,有,商品房,普通住宅,平层,板楼,东湖高新区,9298元/平米,无,无,99.0
3室2厅1卫,123.6平米,南北,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,江汉,15615元/平米,2号线,800米,193.0
3室2厅1卫,99.25平米,南北,低层,简装修,2006年,有,商品房,普通住宅,平层,板楼,东西湖,6045元/平米,无,无,60.0
3室2厅1卫,126.91平米,东南,中层,毛坯,2006年,有,商品房,普通住宅,平层,板楼,东西湖,8510元/平米,无,无,108.0
3室2厅1卫,111.17平米,南,低层,精装修,2016年,有,商品房,普通住宅,平层,板楼,硚口,12593元/平米,1号线,715米,140.0
3室2厅1卫,124.09平米,南北,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,江汉,12733元/平米,2号线,972米,158.0
2室2厅1卫,72.33平米,南,中层,中装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,12166元/平米,无,无,88.0
4室2厅3卫,230平米,南北,低层,毛坯,2018年,有,商品房,普通住宅,平层,板楼,东湖高新区,16522元/平米,无,无,380.0
4室2厅1卫,139.52平米,南,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东西湖,7812元/平米,无,无,109.0
1室1厅1卫,38.91平米,南,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,31354元/平米,7号线,576米,122.0
3室2厅2卫,130.97平米,南,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,17943元/平米,7号线,292米,235.0
2室2厅1卫,74平米,南,中层,精装修,2015年,有,商品房,普通住宅,平层,板楼,洪山,21486元/平米,2号线,660米,159.0
3室2厅2卫,136.59平米,东南,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,16077元/平米,无,无,219.6
3室2厅1卫,126.32平米,南北,中层,精装修,2020年,有,商品房,普通住宅,平层,板楼,东湖高新区,14962元/平米,11号线,739米,189.0
3室2厅2卫,101.49平米,南,中层,精装修,2020年,有,商品房,普通住宅,平层,板楼,洪山,7488元/平米,无,无,76.0
3室2厅1卫,99平米,南北,低层,简装修,2022年,有,商品房,普通住宅,平层,板楼,青山,14141元/平米,5号线,606米,140.0
4室2厅3卫,204平米,,,毛坯,2021年,,,独栋,,,武汉周边,4167元/平米,无,无,85.0
4室2厅3卫,182平米,,,毛坯,2016年,,,独栋,,,武汉周边,5275元/平米,无,无,96.0
3室2厅1卫,105.54平米,南北,中层,中装修,2006年,有,商品房,普通住宅,平层,板楼,江汉,7864元/平米,7号线,527米,83.0
3室2厅2卫,116.19平米,南北,低层,毛坯,2006年,有,商品房,普通住宅,平层,板楼,青山,16396元/平米,5号线,606米,190.5
3室2厅1卫,91.05平米,南北,高层,中装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,16474元/平米,7号线,485米,150.0
3室2厅1卫,112.35平米,北,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东西湖,6676元/平米,无,无,75.0
4室2厅3卫,214平米,,,毛坯,2019年,,,独栋,,,武汉周边,6308元/平米,无,无,135.0
2室2厅1卫,77.09平米,西南,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,江汉,14269元/平米,2号线,751米,110.0
3室2厅2卫,139.02平米,南北,高层,中装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,23018元/平米,无,无,320.0
2室2厅1卫,83.71平米,南北,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,汉阳,13380元/平米,6号线,254米,112.0
2室2厅1卫,90.87平米,南,高层,简装修,2006年,有,商品房,普通住宅,平层,板楼,江汉,9794元/平米,2号线,902米,89.0
3室2厅1卫,89.29平米,南北,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东西湖,7000元/平米,无,无,62.5
2室2厅1卫,88.36平米,南,中层,中装修,2006年,有,商品房,普通住宅,平层,板楼,东西湖,9959元/平米,无,无,88.0
3室2厅2卫,132平米,南北,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,11212元/平米,无,无,148.0
4室2厅2卫,140.45平米,南北,中层,精装修,2020年,有,个人产权,个人产权,平层,板楼,汉阳,17088元/平米,4号线,217米,240.0
3室2厅1卫,116.93平米,南,低层,精装修,2016年,有,商品房,普通住宅,平层,板楼,东湖高新区,14966元/平米,无,无,175.0
3室2厅2卫,135.22平米,南北,低层,毛坯,2006年,有,商品房,普通住宅,平层,板楼,江岸,29951元/平米,1号线,61米,405.0
3室2厅1卫,107.6平米,南,高层,中装修,2013年,有,商品房,普通住宅,平层,板楼,东湖高新区,17937元/平米,2号线,861米,193.0
4室2厅3卫,172.71平米,西南,低层,毛坯,2006年,有,商品房,普通住宅,平层,板楼,江岸,31845元/平米,1号线,278米,550.0
3室2厅2卫,121.84平米,南北,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,12147元/平米,无,无,148.0
2室2厅1卫,96.52平米,南北,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,8268元/平米,无,无,79.8
3室2厅1卫,93.47平米,东南,低层,简装修,2006年,有,商品房,普通住宅,平层,板楼,东西湖,6419元/平米,无,无,60.0
4室2厅2卫,128.89平米,西南,低层,中装修,2006年,有,商品房,普通住宅,平层,板楼,江岸,32198元/平米,1号线,761米,415.0
3室2厅1卫,115.66平米,南北,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,洪山,16514元/平米,8号线,929米,191.0
3室1厅1卫,83.68平米,南北,中层,简装修,2003年,有,商品房,普通住宅,平层,板楼,武昌,19957元/平米,7号线,419米,167.0
2室2厅1卫,90.87平米,南,高层,简装修,2006年,有,商品房,普通住宅,平层,板楼,江汉,9794元/平米,2号线,902米,89.0
3室2厅1卫,134.2平米,南,低层,简装修,2006年,有,商品房,普通住宅,平层,板楼,江汉,11550元/平米,6号线,594米,155.0
3室2厅1卫,126.64平米,南,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东西湖,8054元/平米,无,无,102.0
3室2厅2卫,126平米,南北,低层,毛坯,2023年,有,个人产权,个人产权,平层,板楼,东湖高新区,18651元/平米,无,无,235.0
3室1厅1卫,93.47平米,南,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,江汉,17118元/平米,2号线,658米,160.0
3室2厅1卫,86.71平米,南,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,洪山,14185元/平米,8号线,929米,123.0
3室2厅2卫,96.05平米,东南,中层,毛坯,2006年,有,商品房,普通住宅,平层,板楼,江岸,37480元/平米,1号线,278米,360.0
3室2厅2卫,123.01平米,南北,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,18291元/平米,无,无,225.0
3室2厅1卫,126.64平米,南,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东西湖,7896元/平米,无,无,100.0
4室2厅3卫,163平米,,,毛坯,2021年,,,独栋,,,武汉周边,6442元/平米,无,无,105.0
5室2厅1卫,206.06平米,南北,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,洪山,29846元/平米,7号线,1008米,615.0
3室2厅2卫,105平米,南北,低层,精装修,2021年,有,商品房,普通住宅,平层,板楼,汉阳,12857元/平米,无,无,135.0
2室2厅1卫,90.16平米,西南,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,江汉,13864元/平米,6号线,594米,125.0
3室2厅1卫,101.52平米,南,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,洪山,13790元/平米,5号线,405米,140.0
2室2厅1卫,72.33平米,北,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,14517元/平米,无,无,105.0
4室2厅1卫,124.03平米,南北,中层,简装修,2020年,有,商品房,普通住宅,平层,板楼,东湖高新区,20076元/平米,11号线,685米,249.0
3室2厅1卫,111.17平米,南,低层,精装修,2016年,有,商品房,普通住宅,平层,板楼,硚口,12593元/平米,1号线,715米,140.0
3室2厅1卫,123.6平米,南北,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,江汉,15615元/平米,2号线,800米,193.0
3室2厅1卫,121.47平米,南,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,18111元/平米,5号线,820米,220.0
3室2厅2卫,99平米,南北,高层,毛坯,2019年,有,个人产权,个人产权,平层,板楼,青山,15051元/平米,5号线,606米,149.0
3室2厅2卫,112.83平米,东,中层,毛坯,2019年,有,商品房,普通住宅,平层,板楼,江岸,10104元/平米,1号线,483米,114.0
3室2厅1卫,111.41平米,南北,低层,简装修,2006年,有,商品房,普通住宅,,板楼,江汉,12117元/平米,2号线,902米,135.0
3室2厅2卫,121.84平米,南北,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,12147元/平米,无,无,148.0
3室2厅1卫,103.65平米,南,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东西湖,7815元/平米,无,无,81.0
3室2厅1卫,85.87平米,南北,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,洪山,15838元/平米,8号线,929米,136.0
3室2厅2卫,107平米,南北,中层,毛坯,2025年,有,商品房,普通住宅,,板楼,东西湖,9439元/平米,2号线,202米,101.0
3室2厅1卫,116.83平米,南北,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,洪山,16691元/平米,8号线,929米,195.0
3室2厅2卫,132平米,南北,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,11212元/平米,无,无,148.0
3室2厅1卫,114.74平米,南,中层,毛坯,2006年,有,商品房,普通住宅,平层,板楼,东西湖,8454元/平米,无,无,97.0
3室2厅2卫,125平米,南,中层,简装修,2020年,有,商品房,普通住宅,平层,板楼,硚口,16800元/平米,1号线,608米,210.0
4室2厅3卫,230平米,南北,中层,毛坯,2018年,有,商品房,普通住宅,平层,板楼,东湖高新区,15522元/平米,无,无,357.0
3室2厅2卫,135.22平米,南北,低层,毛坯,2006年,有,商品房,普通住宅,平层,板楼,江岸,29951元/平米,1号线,61米,405.0
4室2厅2卫,189.16平米,,,毛坯,2021年,,,独栋,,,蔡甸,17446元/平米,无,无,330.0
3室2厅2卫,105平米,东南,低层,豪华装修,2023年,有,个人产权,个人产权,平层,板楼,青山,11429元/平米,4号线,561米,120.0
3室2厅1卫,126.91平米,东南,中层,毛坯,2006年,有,商品房,普通住宅,平层,板楼,东西湖,8510元/平米,无,无,108.0
3室2厅1卫,126.91平米,西南,中层,毛坯,2006年,有,商品房,普通住宅,平层,板楼,东西湖,8668元/平米,无,无,110.0
2室2厅1卫,79.64平米,南,低层,精装修,,有,商品房,普通住宅,平层,板楼,江汉,9041元/平米,7号线,725米,72.0
4室2厅3卫,235平米,南北,底层,毛坯,2015年,有,个人产权,个人产权,平层,板楼,武汉周边,4468元/平米,无,无,105.0
3室2厅1卫,103平米,南,底层,毛坯,2006年,有,商品房,普通住宅,平层,板楼,江汉,17282元/平米,3号线,548米,178.0
3室2厅1卫,83.66平米,南,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,江汉,17691元/平米,2号线,658米,148.0
4室2厅2卫,147平米,东南,高层,毛坯,2025年,有,个人产权,个人产权,平层,板楼,江汉,13605元/平米,6号线,499米,200.0
4室2厅1卫,118.83平米,南,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,46116元/平米,4号线,562米,548.0
3室2厅1卫,94.52平米,南北,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,洪山,12907元/平米,7号线,597米,122.0
3室2厅1卫,91.34平米,南北,高层,简装修,2021年,有,商品房,普通住宅,平层,板楼,东湖高新区,9306元/平米,无,无,85.0
3室2厅1卫,101.52平米,南,中层,中装修,2006年,有,商品房,普通住宅,平层,板楼,洪山,14283元/平米,5号线,405米,145.0
4室2厅3卫,214平米,,,毛坯,2019年,,,独栋,,,武汉周边,6308元/平米,无,无,135.0
3室1厅1卫,82.76平米,南北,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,江汉,19091元/平米,无,无,158.0
3室1厅1卫,70.74平米,东南,低层,中装修,2006年,有,商品房,普通住宅,平层,板楼,江汉,11592元/平米,2号线,803米,82.0
3室2厅1卫,124.09平米,南北,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,江汉,12733元/平米,2号线,972米,158.0
4室2厅1卫,116.26平米,南,高层,中装修,2006年,有,商品房,普通住宅,平层,板楼,东西湖,9290元/平米,无,无,108.0
3室2厅1卫,99平米,南北,低层,简装修,2022年,有,商品房,普通住宅,平层,板楼,青山,15152元/平米,5号线,606米,150.0
3室2厅2卫,110.35平米,南,高层,毛坯,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,17037元/平米,无,无,188.0
4室2厅2卫,203.56平米,南北,中层,毛坯,2022年,有,个人产权,个人产权,平层,板楼,武昌,34388元/平米,5号线,450米,700.0
2室2厅1卫,88.36平米,南,中层,中装修,2006年,有,商品房,普通住宅,平层,板楼,东西湖,9959元/平米,无,无,88.0
2室1厅1卫,84.1平米,南,低层,精装修,2006年,有,商品房,普通住宅,平层,,青山,8918元/平米,5号线,995米,75.0
3室2厅1卫,92平米,南北,中层,精装修,2020年,有,个人产权,个人产权,平层,板楼,硚口,11630元/平米,无,无,107.0
3室2厅1卫,101.52平米,南,中层,中装修,2006年,有,商品房,普通住宅,平层,板楼,洪山,14283元/平米,5号线,405米,145.0
3室2厅2卫,139.02平米,南北,高层,中装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,23018元/平米,无,无,320.0
3室1厅1卫,97.89平米,南,高层,毛坯,2006年,有,商品房,普通住宅,平层,板楼,东西湖,7457元/平米,无,无,73.0
3室2厅2卫,105平米,东南,低层,豪华装修,2025年,有,个人产权,个人产权,平层,板楼,青山,13810元/平米,4号线,561米,145.0
5室2厅4卫,252平米,,,毛坯,2020年,,,独栋,,,武汉周边,6151元/平米,无,无,155.0
2室2厅1卫,96.48平米,东南,中层,精装修,2015年,有,商品房,普通住宅,平层,,江汉,20211元/平米,7号线,729米,195.0
3室2厅2卫,90平米,,,毛坯,2022年,,,独栋,,,蔡甸,26667元/平米,无,无,240.0
3室2厅1卫,86.18平米,南,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,18102元/平米,5号线,874米,156.0
3室2厅1卫,99.25平米,南北,低层,简装修,2006年,有,商品房,普通住宅,平层,板楼,东西湖,6045元/平米,无,无,60.0
5室2厅2卫,200平米,,,毛坯,2021年,,,独栋,,,武汉周边,8500元/平米,无,无,170.0
2室2厅1卫,83.71平米,南北,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,汉阳,13380元/平米,6号线,254米,112.0
4室2厅1卫,180.3平米,南北,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,19856元/平米,5号线,548米,358.0
3室2厅2卫,112.83平米,东,中层,毛坯,2019年,有,商品房,普通住宅,平层,板楼,江岸,10104元/平米,1号线,483米,114.0
3室2厅1卫,139.65平米,东南,中层,中装修,2006年,有,商品房,普通住宅,,板楼,江汉,10383元/平米,2号线,822米,145.0
3室2厅1卫,90.08平米,南,中层,中装修,2006年,有,商品房,普通住宅,平层,板楼,东西湖,6772元/平米,无,无,61.0
4室2厅2卫,147平米,东南,高层,毛坯,2025年,有,个人产权,个人产权,平层,板楼,江汉,13605元/平米,6号线,499米,200.0
5室3厅3卫,295平米,,,毛坯,2016年,,,独栋,,,武汉周边,8407元/平米,无,无,248.0
3室2厅2卫,130.45平米,南北,高层,毛坯,2011年,有,商品房,普通住宅,平层,板楼,洪山,19164元/平米,2号线,403米,250.0
3室2厅1卫,72.17平米,南北,中层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,9533元/平米,2号线,1102米,68.8
3室2厅1卫,104.82平米,南,低层,精装修,2006年,有,商品房,普通住宅,平层,板楼,东湖高新区,13642元/平米,11号线,472米,143.0
4室2厅1卫,118.83平米,南,高层,精装修,2006年,有,商品房,普通住宅,平层,板楼,武昌,46116元/平米,4号线,562米,548.0
2室2厅1卫,74平米,南,中层,精装修,2015年,有,商品房,普通住宅,平层,板楼,洪山,21486元/平米,2号线,660米,159.0
3室2厅1卫,105.54平米,南北,中层,中装修,2006年,有,商品房,普通住宅,平层,板楼,江汉,7864元/平米,7号线,527米,83.0
3室1厅1卫,89.34平米,南,中层,简装修,2006年,有,商品房,普通住宅,平层,板楼,东西湖,10410元/平米,6号线,830米,93.0
